author,anomaly_score_iforest,anomaly_score_lof
Jarmila Pšeničková,0.06041434093838416,1.2031639
Bohuslav Šlambora,0.05983822769341218,1.0910501
Julius Barák,0.05978578213240848,1.6195263
Radek Vích,0.05972973981295315,1.1477296
Vladimír Kroupa,0.05952973165256625,1.2584393
Matěj Strasmajer,0.059475853575574944,1.0346639
Antonin Křapka,0.05914334070020644,1.2125019
Tomas Novotny,0.05902877496514913,1.0331331
Michal Diviš,0.05893513784646698,1.0613725
Petr Duchek,0.0585979588573895,1.2544041
Robert Lhotský,0.05850868576355872,1.0369152
Martin Simper,0.05830159215502295,0.99674237
Jirka Šeba,0.058223147913833095,1.1625575
Tetiana Leontieva,0.05808135192049646,1.0530877
Pepa Sobotka,0.057747510447293426,1.104351
Lubino Nováček,0.05773616178095953,1.5118071
Vladimir Cerny,0.05758826923091376,1.0894101
Ladislav Kobliha,0.05746331619176315,1.1825477
Milos Rozsypal,0.05725914740171478,1.0842364
Pavel Sázavský,0.057243575383308265,1.2367057
Miroslav Urban,0.05704839459488564,1.0425851
Milan Richter,0.05670759173466544,1.103011
Paja Brandak,0.056643477916776375,1.0093476
Josef Hrubý,0.05616483368639602,1.2419398
Miroslav Šilhavý,0.055900321948444964,1.0430043
Petr Cermák,0.05562686470948519,1.1054193
Petr Fryda,0.05556162318487057,1.0217894
Jirka Srom,0.05531630598419823,1.0900123
Milan Fabian,0.055242575668756455,1.141059
Pech Petr,0.05483084071196953,1.1425031
Ivan Rozumný,0.05481557157433914,1.0244895
Martin Milco,0.05450154087037962,1.1306657
František Gregor,0.05431894757115274,1.041827
Milan Smutný,0.0542179376670433,1.1404966
Petr Hrdý,0.05406895139193957,1.0865798
Gerhard Mozolic,0.0540183553546808,0.9991177
František Slavič,0.053895284795129506,1.1108077
Martin Lyko,0.05335427952645855,1.3871838
Jaroslav Charvát,0.05335296413946977,1.0174831
Roman Jarolím,0.053273343577894816,1.0698879
Jonatán Miazga,0.05326740708494626,1.2061193
Jana Skalková,0.05316820869072825,1.1264762
Helena Bajerková,0.05301097785371667,1.2928092
Radovan Wicha,0.05285752496128138,1.0680557
Karel Zůza,0.05266718800890846,1.0133064
Pavel Zigáček,0.052492170322482434,1.1649106
Josef Drzka,0.05219002112678739,1.0041522
Jana Starková,0.0521140651655444,1.1353575
Jaroslav Merhaut,0.051735751255509665,1.0678141
Libor Strihavka,0.05168885208633811,1.1159976
Dana Jurášová,0.05167785913232659,1.1189543
Dalibor Mikulenka,0.0516692262659697,1.1483848
Jaromir Mlejnicka,0.05150207186792033,1.0320727
Jaroslav Dítě,0.051462616691593355,1.0173314
Bohumil Tomek,0.0512459157876779,1.1414735
Radim Piecha,0.05113087556034002,0.9927052
Monika Cebulová,0.05097645863833078,1.217376
Irena Dulavova,0.05086830398339515,1.3873056
Martin Štrympl,0.050562589358493115,1.0016412
Oldřich Slezák,0.05053407958908518,1.2856073
Jaromir David,0.05045704773297577,1.3637673
Martin Kosek,0.050390741825041885,1.0115814
Jiří Nesvadba,0.05035394252780412,1.1579869
Karel Vlček,0.050349530852577984,1.1778542
Miroslav Dusbaba,0.05021024734598689,0.9979515
František Šálek,0.049991659222259455,1.0527146
Leoš Zemek,0.04997556390570668,1.0369285
Martin Rakouš,0.04988561930389601,1.1360462
Jaroslav Hanuš,0.04987099673154549,1.2233008
Jan Balcárek,0.049823405112914165,1.2964942
Ladislav Samsa,0.04970815740610479,1.1225917
Milan Martinec,0.049705843642396164,1.1089501
Ivana Mrkvová,0.04965824195581514,1.2769195
Radim Soukup,0.04959407555546247,1.0209743
Boris Brockner,0.04950169180260078,1.0565871
Radek Novotny,0.04939488858391394,1.0293254
Pavel Kubíček,0.04932542189626232,1.0324285
Milan Krištof,0.0492353289619194,1.1487801
Jiří Pelka,0.04908846183015869,1.2322068
Rosta Schořík,0.04904256096152171,0.9913551
Kristian Vágner,0.048869668070827155,1.2306869
Martin Berka,0.04838598413928452,0.99853003
Radek Hanuš,0.04824445527400556,1.082498
Tomáš Búry,0.04823336127125899,1.4482591
Jirka Detr,0.04805232894969336,1.0428231
Mára Slavík,0.04798935987574482,1.0722098
Petr Fojtík,0.04798700238904863,1.0072919
Taťána Tamchynová,0.04787019849993879,1.293415
Zuzana Jičínská,0.047844700088719105,1.0321385
Roman Balcar,0.04771688577056221,1.0379161
Vladimir Kulhanek,0.04764583253244181,1.1737024
Lukáš Janeček,0.047511798794511506,1.1883433
Kamil Formánek,0.04746395551328875,1.1349642
Petr Techlovský,0.04736542645938768,1.0180948
Jan Koudelka,0.04732591304845246,0.9894453
Miroslav Klimša,0.047307383298571315,1.0892981
Milos Zikmund,0.047263517179058634,1.077488
Pavla Bartíková,0.047176756743172565,1.1132964
Břetislav Machaček,0.04717582783148644,1.0386548
Adam Jarý,0.04705755669158562,1.0788109
Heinz Lyner,0.04689989460689292,1.106495
Augustin Šubrt,0.04688958887107386,1.215289
Vlastimil Kotera,0.04688542183359756,1.2440256
Vladislav Hanus,0.04637408586187097,1.0810965
Pavel Pokorny,0.04637242430477451,0.9900179
Josef Vávra,0.046235970479567956,1.2922994
Michal Vlček,0.046023860487154566,1.0413499
Miroslav Hes,0.04599245241363514,1.0277684
Ivo Patta,0.04592237339299676,1.3808538
Boris Onderka,0.04559921850089277,1.039892
Lubos Hobl,0.045384927109178075,1.0538156
Eliáš Alderon,0.045364916142572875,1.1356924
Vojtěch Sendrej,0.04532681841783437,1.0945175
Frantisek Verner,0.04525462273686964,1.0356612
Petr Lenek,0.04522514785461251,1.0182189
Martin Pekárek,0.045015775212936204,1.0402957
Vlastimil Lang,0.0449304913642411,1.1901855
Jiří Kutil,0.044928460590325736,1.0900759
Jan Štětka,0.04490273304001935,1.1891339
David Braunstein,0.04484273578784881,1.10754
David Hampala,0.0446948067927011,1.1197317
Jaroslava Dorogyová,0.0446506512592425,1.1240366
Romana Václavková,0.04464414810769668,1.3908181
Luboš Hrdina,0.04463717755824392,1.1000792
Lubomír Janů,0.044536874503686485,1.1695815
Tomas Grunwald,0.04448439630289136,1.0390933
Matěj Kopecký,0.04446845244084874,1.0270884
Petr Huza,0.044357694517410895,1.2777622
Leoš David,0.04431247764970203,1.1153972
Urban Ivo,0.044181741335793,1.0239968
Jakub Jaroš,0.04409453133992658,1.0147775
Jan Sedlecký,0.044011045451137654,1.1020454
Miroslav Horejš,0.043999792001453875,1.0123559
Michal Semrad,0.04389703996287264,1.1747731
Ivo Franc,0.043848583275302055,1.0860127
Ivo Sladký,0.04375393137731043,1.3148186
Soňa Frankova,0.043673954842229135,1.0089645
Tatana Hajduskova,0.043589966626256915,1.1911204
Miroslava Kašparová,0.04351916709902237,1.1930048
Milan Forejt,0.04350895171232283,1.2087377
Antonín Novák,0.043452414086168845,1.0626781
Mirek Šurgot,0.04332431635796807,1.093763
Jirka Rozkovec,0.04328319558443894,1.1061115
Jachym Kavan,0.04326502952252498,1.0282024
Pavel Vondrák,0.04310289165487213,1.0348585
Jiří Pořízek,0.04284347418272949,1.2224138
Jiri Volf,0.042789815938927944,1.0432832
Luděk Mazurek,0.04278892926543543,1.158057
Jan Bačák,0.0426351516425717,1.0566856
Miloš Breck,0.04257496744239897,1.2208736
Eva Vašková,0.04254316681776704,1.0797282
Pavel Ondriaš,0.04254176443020752,1.0075312
Josef Počta,0.04250551645117928,1.1035163
Aleš Hradil,0.042463349697203556,1.0577201
Roman Řehula,0.042358174964004625,1.049961
Jenda Bahník,0.04221468871857381,1.0798868
Eva Mankova,0.04212743010621356,1.0313662
Frantisek Ryza,0.04205374720217825,1.2046053
Zbynek Rejfek,0.04205031680458016,1.2807522
Igor Reichert,0.04200096627079897,1.1474403
Jaroslav Kubík,0.04195845851282842,1.5543869
Tomáš Surmaj,0.041865651308861995,1.1221116
Radek Flegl,0.041824101666883995,1.028175
Pavel Ruzicka,0.04177097741249214,1.0491763
Petr Šmíd,0.041705785829205144,1.0963035
Andrea Seibertová,0.04166271265699717,1.2623136
Michal Krejsa,0.04162336057082905,1.1171271
Jaroslav Nechvátal,0.041547552567944845,1.0534922
Stanislav Ryšan,0.04151646096611328,1.1270683
Kryštof Laník,0.041430773763137974,1.0241473
Lubos Ulovec,0.04133512682469387,1.0145452
Stanislav Habrluk,0.04130655402710326,1.0587567
Bohumil Dymáček,0.041213282642317495,1.0974464
Jan Antošovský,0.041109054969120984,1.040323
Radislav Šimoník,0.04104735670499282,1.0878773
Daniel Vyhlídka,0.04103882209416032,1.3347567
Ivan Vávra,0.04085936341061891,1.0260994
Libor Kovarik,0.04076051302468309,1.1264021
Josef Duben,0.04056276984359608,1.0341246
Zdeněk Procházka,0.04044691865515837,1.2011197
Milan Kaderabek,0.04037925573655876,1.2449512
Josef Lebeda,0.04022055421659232,1.060597
Barbora Kinská,0.04000968284307749,1.1064625
Monika Kulichova,0.039966576993425984,1.1911147
Kopri Tomas,0.03987222220011144,1.099302
Pavel Sklenář,0.03987017129378545,1.0513914
Lukáš Mareda,0.039793177803057134,1.0051008
Iveta Jarosova,0.039768230960542605,1.0013647
Michael Kajnar,0.039703326192367605,1.0170034
Jaroslav Kyprian,0.03967511627625775,1.0449585
Miroslav Sikora,0.03956011437967544,1.0585358
Petr Květák,0.03955535168843016,1.0786479
Dagmar Kramlova,0.03945778027326563,0.9954613
Anna Nečasová,0.03939639726623412,1.0456927
Marek Věchýtek,0.03938735415228123,1.0123714
Honza Burda,0.03936382494673596,1.2897472
Martin Škorpil,0.039111059240960144,1.0439967
Miroslav Olah,0.03900615990905476,1.1395844
Jan Horak,0.03899073205941084,1.0845456
Michal Šebek,0.03891680149669008,1.0162021
Jiří Válek,0.038900991618502356,1.0490315
Míla Novák,0.03885610799837458,1.0926524
Jaroslav Lidmila,0.0388453115835975,1.1451615
Lenka Moranová,0.038827791186173966,1.0124567
Ondrej Duchon,0.038750215575748315,0.9958208
Patrik Lopusek,0.038745742172032416,1.2395122
Jaroslav Lerch,0.038723038347732164,1.1372349
Andrea Dvořáková,0.038664818650472776,1.0511148
Zdeněk Malinka,0.03861422045466756,1.0798159
Ferda Siska,0.03852408341727276,1.1272603
David Petrzilka,0.03841133509206862,1.0424358
Jan Stach,0.03833610809465582,1.0683904
Radek Krupa,0.038213977696412105,1.0410273
Solar Michal,0.03814262913608868,1.1917634
Martin Zelený,0.03796752926596936,1.1281801
Miloslav Musil,0.037818129727902994,1.3351411
Vladimír Pilát,0.03767475784484098,1.0256125
Petr Galuška,0.037672736100419435,1.0084097
Pepa Maly,0.037490769817215885,1.2714875
Felix Podroužek,0.03747190470626516,1.0287125
Miroslava Maskova,0.0373194498559789,1.0667268
Petr Joter,0.037100870275857956,1.2382088
Juraj Belko,0.03708711559452116,1.1678271
Jaroslav Kosela,0.036620087878488694,1.0600212
