author,anomaly_score_iforest,anomaly_score_lof
Renata Šulcová,0.029123238526689077,1.1996253
Standa Šálek,-0.049328972281753924,1.1996148
Mojmír Vyslocký,0.11116931718624867,1.1995621
Zdeněk Bureš,-0.020977393199711647,1.1994721
Viola Widmanova,-0.038731546886814405,1.1994346
Jana Muller,-0.034329973029494976,1.1993759
Vladislav Krčmář,-0.056888111274091546,1.199372
Pavel Sperlik,-0.03721951851178301,1.1991682
Marie Maskova,-0.03356962338259045,1.1991112
Pavel Vinecky,-0.03831022998699013,1.1989413
Josef Kočvara,-0.02570288223314854,1.1986527
Jan Zlatuška,-0.02303821486060409,1.1983411
Anton Smatanik,0.01616137491323849,1.1979917
Radek Sobotka,-0.020221327774714082,1.1978525
Martin Budar,0.0019059733433987591,1.1978276
Mikulas Fronek,0.010677633381916407,1.197817
Vít Skála,-0.03082481522498609,1.1977059
Martin Kudlík,0.01845077678583268,1.197641
Josef Mariánek,-0.061566874115540515,1.1975368
Anna Benešová,-0.03063700920178969,1.197513
Stanislav Vlček,-0.05901767983642353,1.1972564
Peter Zatko,0.02579048477559842,1.1971138
Jaroslav Pánek,-0.016966869344845148,1.196753
Alena Sehnalová,0.013867000524811102,1.1962895
Zdeněk Václavík,-0.004532213862877221,1.1962793
Marta Kubíčková,-0.07122981822984764,1.1960375
Petr Dolinger,-0.03129550839174039,1.195832
Vlasta Hrabica,-0.04049005840367531,1.1957862
Rostislav Haladěj,-0.05159292682656569,1.1955894
Karel Novotny,-0.041810111481678736,1.1954002
Oleg Pastrňák,-0.06088129181026192,1.1953707
Petr Postupa,-0.07191484596594822,1.1950012
Zemanek Vincenc,-0.04019200179494348,1.1947706
Iva Granetová,-0.042182620148433436,1.1946862
Jiri Chmelik,0.11697941073625995,1.1946434
Richard Kapoun,-0.06679413957573743,1.1946238
Jan Kyška,-0.07756897157924048,1.194534
Dan Tolicek,-0.011615368784020808,1.1945175
Guzdek Dalibor,-0.048249093867887005,1.194364
Ludvík Smýkal,-0.0653591286155582,1.1940019
Ondrej Kaplan,0.0012383588803260293,1.1936572
Ion Gadirca,-0.037734884830761484,1.1936004
Daniel Indra,-0.06526805008104147,1.1934536
Luboš Řehák,-0.030943146507707964,1.1934321
Daniela Hašková,-0.0029192508948472917,1.1931124
Miroslava Kašparová,0.04351916709902237,1.1930048
Richard Bystrický,0.016062050674015838,1.1929182
Richard A Gábina,0.08363271990726628,1.1928775
František Málek,-0.04781393817605356,1.1928484
Martin Kuřil,-0.02359074953949597,1.1927645
Josef Musil,-0.07988953528022619,1.1926235
Milan Jares,-0.03964372498548557,1.1924839
Josef Bárta,-0.020595777614397293,1.1924686
Petr Bazant,-0.06068702792248748,1.1924143
Jaroslav Frantisek,0.01831064243241165,1.1924056
Vladimír Kocourek,-0.023111306958677524,1.1922228
Karel Blaha,-0.07722787024386762,1.1921685
Karfikov René,-0.02412596653512772,1.1921246
Josef Pražský,-0.01650821692515131,1.1920888
Solar Michal,0.03814262913608868,1.1917634
Martin Kardos,-0.02519263592554838,1.1912558
Patrik Nobur,0.023073302583757727,1.1912235
Ladislav Novák,-0.04178251853305298,1.191204
Tatana Hajduskova,0.043589966626256915,1.1911204
Monika Kulichova,0.039966576993425984,1.1911147
Jan Dospel,-0.01809005154936233,1.1909266
Radek Řezáč,-0.06952388894940026,1.190804
Jan Prager,-0.04491619173768058,1.1904509
Zbyněk Štefek,-0.06795995984660719,1.1903532
Roman Sindy,-0.03320411523443878,1.1902639
Vlastimil Lang,0.0449304913642411,1.1901855
Zdeno Gatto,-0.0472049196631979,1.1901802
Romano Budský,0.0006650488006680888,1.1900189
Tomas Crha,-0.052636503165257253,1.1899631
Stanislav Slezák,0.0030064562437079334,1.1898347
Josef Krátký,-0.04094768622837175,1.1897624
Vasek Jansa,-0.069202853964766,1.1894972
Gabriela Horáčková,-0.07016016460888436,1.1894745
Eda Kantner,-0.05511569353993323,1.189389
Tom Novák,-0.019916871336267405,1.1893564
Dana Beňaková,0.027920265229744334,1.1893008
Pavel Molík,-0.020882244167714004,1.1892183
Jan Štětka,0.04490273304001935,1.1891339
Roman Myška,-0.05612809837828692,1.189093
Vladimir,0.06317577108926076,1.188991
Radim Dufka,-0.03396939224941148,1.1889598
Míra Buda,-0.025284029127849994,1.1889389
Dan Weigner,-0.06091673395850705,1.1889126
Jiří Bečvář,-0.02591255030333861,1.1886736
Jan Kozák,-0.008707490368398574,1.188555
Lukáš Klazar,0.006616369653786314,1.1885192
Antonín Šimíček,0.01592897863102616,1.1883471
Lukáš Janeček,0.047511798794511506,1.1883433
Jiří Klimeš,-0.03490391341234733,1.1883075
Vojtěch Mansfeld,-0.040576826762115714,1.1881073
Michal Labant,0.008094123235139361,1.1880229
Roman Janku,0.03454502836545925,1.1879879
Jan Richter,-0.03225982166832114,1.1878911
Zdeněk Jurczek,-0.07386606021012337,1.1878908
Libor Klíma,-0.012311937604683298,1.1876906
